90,417,485
120,92,218
14,221,27
260,61,320
27,82,277
459,140,337
470,225,342
300,174,416
498,50,22
418,143,414
350,452,208
26,255,209
178,58,276
22,58,117
6,257,326
108,181,483
447,280,9
388,194,176
168,310,44
37,167,411
105,199,447
31,446,261
492,208,145
228,364,216
180,299,220
490,491,50
474,60,475
195,398,497
44,100,38
332,444,53
333,124,77
487,301,363
330,501,389
297,22,118
390,286,169
162,459,205
10,358,45
303,117,455
429,124,101
306,252,239
487,458,303
187,186,267
269,188,133
440,457,161
53,247,104
125,342,96
239,180,65
173,287,232
106,381,207
461,107,180
481,491,482
438,443,356
80,223,72
360,212,115
422,292,294
258,373,378
162,330,83
176,297,125
458,220,192
14,348,15
375,70,326
243,440,151
341,225,22
136,308,494
449,287,207
45,459,405
494,222,59
418,63,153
228,195,274
174,106,121
254,159,444
6,367,466
153,398,245
121,107,190
237,270,457
501,65,130
109,217,460
274,136,162
248,9,472
139,268,261
172,494,214
41,33,459
272,334,438
50,89,310
351,223,106
47,75,2
38,367,124
321,304,22
423,279,149
311,107,332
145,95,77
252,288,163
396,478,77
371,77,330
479,221,423
414,145,102
392,227,253
38,474,422
397,6,132
8,421,45
140,495,342
45,91,33
165,337,275
217,125,2
386,411,331
52,87,122
240,24,311
182,420,339
186,23,112
216,154,305
71,190,29
225,368,262
395,273,49
174,12,125
115,305,212
414,405,431
371,133,100
4,227,230
209,131,495
227,36,456
439,11,127
351,157,337
400,252,86
170,13,363
361,28,325
499,345,124
264,353,33
404,366,453
294,167,36
304,474,321
110,108,84
278,29,67
172,491,58
314,371,330
264,201,320
431,241,495
489,239,182
386,181,88
486,118,140
235,2,60
45,311,417
345,307,284
128,501,200
219,240,380
267,266,366
25,191,8
126,373,237
230,61,468
36,293,367
111,366,498
18,239,6
227,224,163
199,377,404
41,312,208
380,33,64
170,340,127
380,4,201
104,200,196
169,189,91
364,284,205
479,252,408
64,463,227
394,487,417
241,422,249
50,353,200
29,370,287
20,476,363
10,12,104
166,277,119
402,258,363
188,80,145
122,47,350
464,265,83
181,31,47
48,83,159
398,433,266
66,149,99
150,354,416
192,297,243
198,405,448
316,8,482
132,128,491
428,312,413
177,337,354
4,228,197
339,343,37
243,252,189
104,397,317
372,374,122
265,484,424
32,90,393
74,190,231
